"","name","lat","lng","address","walking_distance","walking_duration","cid"
"112"," 上海金光外滩置地有限公司威斯汀大饭店 ",31.2343844323457,121.482376155866,"黄浦区河南中路88号",267,3.78333333333333,"hotel"
"117","上海豫园大酒店有限公司豫园万丽酒店",31.2293626384741,121.483305466782,"黄浦区河南南路159号",651,9.25,"hotel"
"1","麦当劳(南京东路353广场餐厅)",31.2386754548282,121.479612878009,"上海市黄浦区南京东路353号悦荟mosaicF1",829,11.7833333333333,"mdc"
"2","麦当劳(豫园2号餐厅)",31.2274045883108,121.486938944274,"上海市黄浦区旧校场路125号豫园百货天裕楼B1",1101,15.6333333333333,"mdc"
"3","麦当劳(南京东路餐厅)",31.2377738128906,121.474777470846,"上海市黄浦区南京东路588号丝绸商厦B1层",1203,17.1333333333333,"mdc"
"13","豫园",31.2302709730253,121.482830170987,"地铁10号线",537,7.61666666666667,"station"
"21","南京东路",31.2399509349123,121.479787213717,"地铁10号线;地铁2号线",889,12.6666666666667,"station"
"16","星巴克(外滩中心店)",31.2343527870228,121.483153998176,"延安东路222号外滩中心1层",137,1.95,"stb"
"22","星巴克(久事大厦店)",31.2383441464512,121.483717865535,"四川中路213号四川中路213号102室",583,8.3,"stb"
"110","慧丰大酒店",31.2332488522981,121.484573047324,"上海市黄浦区金陵东路58号上海工商联大厦3楼",140,1.98333333333333,"restaurant"
"23","来一碗(广东路店)",31.2353444625099,121.484016625449,"广东路141弄1号(近外滩中心大厦)",190,2.7,"restaurant"
"31","花马天堂云南餐厅(外滩店)",31.2343419058327,121.486556267425,"延安东路17号甲（近四川南路）",326,4.63333333333333,"restaurant"
"4","Treats美食",31.2344110253856,121.482354608535,"河南中路88号威斯汀大饭店1楼",270,3.83333333333333,"restaurant"
"5","老干杯Kanpai Classic(上海外滩本店)",31.2363684067409,121.485990687317,"广东路20号外滩5号5楼(近中山东一路)",402,5.73333333333333,"restaurant"
"6","1886汽车主题德国餐厅(外滩十三号店)",31.2386038050958,121.48458461571,"上海市黄浦区汉口路11号(近中山东一路)",642,9.13333333333333,"restaurant"
"7","南麓.浙里(外滩店)",31.2377852949161,121.484447313605,"上海黄浦区四川中路216号近福州路",504,7.18333333333333,"restaurant"
"8","POP美式餐厅",31.2361611046525,121.486295044942,"黄浦区中山东一路3号外滩三号7楼",424,6.03333333333333,"restaurant"
"9","重庆高老九火锅(南京东路店)",31.2372678740051,121.478226968246,"九江路399号华盛大厦2楼(近山西南路地铁2号线南京东路站4号出口)",893,12.7166666666667,"restaurant"
"10","Jean Georges",31.2361611046525,121.486295044942,"上海市黄浦区广东路17号",424,6.03333333333333,"restaurant"
"11","贯贯吉穆斯林餐厅(浙江中路店)",31.2334139705938,121.476138880992,"上海市黄浦区浙江中路70-2号",868,12.3833333333333,"restaurant"
"12","东莱·海上(福建中路店)",31.2346081041041,121.477955789696,"上海市黄浦区福建中路94号",688,9.8,"restaurant"
"14","茹丝葵牛排馆",31.236605676017,121.48635918507,"上海市黄浦区广东路20号外滩5号4层02室",493,7.01666666666667,"restaurant"
"15","Da Ivo",31.2338569104222,121.488410197154,"金陵东路1号23楼",592,8.41666666666667,"restaurant"
"17","渝信川菜(华盛店)",31.2377805161262,121.478218071054,"九江路399号华盛大厦5楼",920,13.1,"restaurant"
"18","老正兴菜馆本店",31.2350979391139,121.475497440061,"上海黄浦区福州路556号近浙江中路东南角",989,14.0833333333333,"restaurant"
"19","M1NT",31.2365026506039,121.479811427219,"上海黄浦区福州路318号浦汇大厦24楼",619,8.83333333333333,"restaurant"
