"","X","name","bgn","end","city_bgn","city_end","lat_bgn","lat_end","lng_bgn","lng_end","lat_wgs84_bgn","lng_wgs84_bgn","lat_wgs84_end","lng_wgs84_end"
"1",1,"武康路","上海市徐汇区武康路","上海市徐汇区安福路","上海","上海",31.2148059345671,31.2205076066443,121.44681437828,121.450781660124,31.2103171433219,121.435788638833,31.216030844056,121.439756667948
"2",2,"武康路","上海市徐汇区安福路","上海市徐汇区五原路","上海","上海",31.2205076066443,31.2186169534875,121.450781660124,121.450820234261,31.216030844056,121.439756667948,31.2141417040969,121.439796898873
"3",3,"武康路","上海市徐汇区五原路","上海市徐汇区复兴西路","上海","上海",31.2186169534875,31.2170641735293,121.450820234261,121.448546941914,31.2141417040969,121.439796898873,31.2125787691963,121.437522027611
"4",4,"武康路","上海市徐汇区复兴西路","上海市徐汇区武康路286号","上海","上海",31.2170641735293,31.2137660648768,121.448546941914,121.446403696357,31.2125787691963,121.437522027611,31.2092772966632,121.43537819837
"5",5,"武康路","上海市徐汇区武康路286号","武康路391弄1号","上海","上海",31.2137660648768,31.212334140648,121.446403696357,121.445680797574,31.2092772966632,121.43537819837,31.2078455623909,121.434655274748
"6",6,"武康路","武康路391弄1号","长宁区淮海中路1936号(兴国路口)","上海","上海",31.212334140648,31.210320375649,121.445680797574,121.44403109903,31.2078455623909,121.434655274748,31.2058333651189,121.433003877032
"7",8,"安福路","上海市徐汇区安福路3号","徐汇区安福路308号","上海","上海",31.2215366036578,31.219747245115,121.454618234923,121.446968885031,31.2170897148388,121.443595118478,31.2152553298915,121.435938865525
"8",15,"巨鹿路","上海市黄浦区巨鹿路1号","上海市黄浦区巨鹿路158号","上海","上海",31.2295592284511,31.2291738240274,121.475990797769,121.472921021943,31.2254789542179,121.464939016511,31.2250277050858,121.461874904251
"9",16,"巨鹿路","上海市黄浦区巨鹿路158号","上海市黄浦区巨鹿路242号","上海","上海",31.2291738240274,31.2291235883625,121.472921021943,121.46888767422,31.2250277050858,121.461874904251,31.2248939726138,121.457848506445
"10",17,"巨鹿路","上海市黄浦区巨鹿路242号","上海市黄浦区巨鹿路294号","上海","上海",31.2291235883625,31.2292107256054,121.46888767422,121.466652025366,31.2248939726138,121.457848506445,31.224937468732,121.455616249987
"11",18,"巨鹿路","上海市黄浦区巨鹿路294号","上海市黄浦区巨鹿路417号","上海","上海",31.2292107256054,31.2282758805019,121.466652025366,121.464089778678,31.224937468732,121.455616249987,31.2239564307209,121.453057800996
"12",22,"富民路","上海延安中路1007号","静安区长乐路720号","上海","上海",31.22795390472,31.2239128821426,121.456506040122,121.458792587865,31.2235232592601,121.445479060015,31.2195134300322,121.447767497991
"13",29,"衡山路","上海市徐汇区衡山路932号","上海市徐汇区衡山路20号","上海","上海",31.201252467406,31.2110606700264,121.445132511416,121.452568181377,31.1967718754114,121.434117799248,31.2066030138192,121.441553887639
"14",36,"永康路","上海市徐汇区永康路256号","上海市徐汇区嘉善路140弄","上海","上海",31.216702666251,31.2167036781952,121.463250252907,121.465333395521,31.2123762215352,121.452227727354,31.2124138711674,121.454308381652
"15",43,"愚园路","上海市长宁区愚园路1357号","上海市长宁区江苏路458号","上海","上海",31.2249321633365,31.2246384347317,121.429889481421,121.437534190667,31.2205435695839,121.418795372909,31.2201686816997,121.426473638705
"16",44,"愚园路","上海市长宁区江苏路458号","静安区愚园路507号","上海","上海",31.2246384347317,31.2279751058876,121.437534190667,121.445676477623,31.2201686816997,121.426473638705,31.2234761234017,121.43463823522
"17",50,"南京东路步行街","上海市黄浦区黄河路28号","上海市南京东路830号","上海","上海",31.2397499658489,31.2407691153527,121.477825366689,121.481317324545,31.235704583438,121.466768776451,31.2367983917578,121.47025524629
"18",51,"南京东路步行街","上海市南京东路830号","上海市南京东路819号","上海","上海",31.2407691153527,31.2403393677154,121.481317324545,121.482232838894,31.2367983917578,121.47025524629,31.2363881239015,121.471169376338
"19",52,"南京东路步行街","上海市南京东路819号","上海市南京东路635号","上海","上海",31.2403393677154,31.2411262670975,121.482232838894,121.484624084144,31.2363881239015,121.471169376338,31.2372239625895,121.473557724375
"20",53,"南京东路步行街","上海市南京东路635号","上海市南京东路233号","上海","上海",31.2411262670975,31.2432221161462,121.484624084144,121.492040354299,31.2372239625895,121.473557724375,31.2394546717809,121.480970410207
"21",54,"南京东路步行街","上海市南京东路233号","上海市黄浦区南京东路409号","上海","上海",31.2432221161462,31.2421788689929,121.492040354299,121.488864015185,31.2394546717809,121.480970410207,31.2383575510926,121.477794404416
"22",55,"南京东路步行街","上海市黄浦区南京东路409号","上海市黄浦区南京东路353号","上海","上海",31.2421788689929,31.2426515054194,121.488864015185,121.490023603632,31.2383575510926,121.477794404416,31.2388505755787,121.478953669869
"23",57,"外滩一线","上海市黄浦区中山东一路(外滩)411","中山东一路287","上海","上海",31.2360493198477,31.2434493973496,121.500727867784,121.497164533267,31.2323935051265,121.489666601821,31.2397537964288,121.486098076204
"24",58,"外滩一线","中山东一路287","上海市黄浦区滨江大道2789号","上海","上海",31.2434493973496,31.2439855089186,121.497164533267,121.503921537008,31.2397537964288,121.486098076204,31.2403492636844,121.492869342318
"25",59,"外滩一线","上海市黄浦区滨江大道2789号","上海市黄浦区外滩黄浦公园","上海","上海",31.2439855089186,31.2474666314142,121.503921537008,121.497545463312,31.2403492636844,121.492869342318,31.2437741889059,121.486481085645
