"","brand","lat","lng","cid","seat"
"1","办伴 Distrii",31.2372308578192,121.507461196538,9,229
"2","办伴 Distrii",31.2309274030072,121.443726026572,9,667
"3","办伴 Distrii",24.5351419791466,118.017406466279,9,248
"4","办伴 Distrii",31.2309274030072,121.443726026572,9,316
"5","办伴 Distrii",31.1646920554485,121.435238751478,9,682
"6","办伴 Distrii",31.1646920554485,121.435238751478,9,224
"7","办伴 Distrii",31.2095186530512,121.376376977288,9,280
"8","办伴 Distrii",31.2095186530512,121.376376977288,9,197
"9","办伴 Distrii",31.2095186530512,121.376376977288,9,369
"10","办伴 Distrii",31.3006040228568,121.524895392277,9,321
"11","办伴 Distrii",31.3006040228568,121.524895392277,9,838
"12","办伴 Distrii",39.9690371581083,116.440044482333,9,538
"13","办伴 Distrii",31.210551083354,121.583224567287,9,592
"14","氪空间",31.2027892382037,121.581581721641,9,440
"15","氪空间",31.1731412115836,121.409853734439,9,1090
"16","氪空间",31.2235019664518,121.485006375957,9,377
"17","氪空间",31.2273672312958,121.627666172083,9,517
"18","氪空间",31.2309274030072,121.443726026572,9,137
"19","氪空间",31.1913064857935,121.313402383009,9,703
"20","氪空间",31.2235019664518,121.485006375957,9,963
"21","氪空间",31.2273672312958,121.627666172083,9,747
"22","氪空间",31.2172975090945,121.411372167637,9,579
"23","氪空间",31.2203743698747,121.44132567478,9,1380
"24","氪空间",31.2106853367442,121.515000032986,9,615
"25","氪空间",31.2241072917426,121.527700551787,9,580
"26","氪空间",31.2273672312958,121.627666172083,9,500
"27","星空间",31.2069864921672,121.558783616277,9,286
"28","星空间",31.2353794825922,121.552611602088,9,578
"29","星空间",31.2273672312958,121.627666172083,9,245
"30","星空间",31.1965987513275,121.322301759484,9,273
"31","裸心社",31.2311635700832,121.523961187148,9,327
"32","裸心社",31.214393655502,121.453657628795,9,454
"33","裸心社",31.2104814282126,121.433215905356,9,286
"34","裸心社",31.2215283366231,121.469177637392,9,615
"35","裸心社",31.2235019664518,121.485006375957,9,1052
