"","name","lat","lng","cid","seat"
"1","太平",31.2363071068859,121.499100206996,8,605
"2","这里",31.2210587254225,121.417743453716,8,46
"3","愚谷",31.2233729927257,121.437931739309,8,100
"4","礼和",31.2391372800993,121.482310499562,8,516
"5","恒泰",31.2285665769271,121.450402053723,8,126
"6","飞元",31.222628656992,121.463513952294,8,420
"7","有光",31.2015288630716,121.482766694134,8,530
"8","方寸",31.2218641508539,121.351128529261,8,346
"9","市隐",31.2334881853512,121.460645162324,8,49
"10","吾元",31.215299194239,121.440607811084,8,60
"11","丰再",31.2436863110368,121.480710325811,8,100
"12","阁舍",31.2276291014681,121.453425280378,8,37
"13","上园",31.2146175304042,121.446241695416,8,83
"14","阁致",31.2274191313654,121.453380142403,8,47
