"","name","lat","lng","address","distance","walking_distance","walking_duration"
"1","畔丹泰国菜",31.231448,121.45286,"愚园路68号晶品中心5楼-03&03A(常德路)",20,4,0.05
"2","谷田稻香(晶品店)",31.231746,121.452542,"上海市静安区愚园路68号晶品crystalgalleriaB2",24,3,0.0333333333333333
"3","精悦蓉(愚园路店)",31.231524,121.452621,"上海市静安区愚园路68号晶品crystalgalleriaB2",10,7,0.1
"4","上海人家精作坊(航站店)",31.230298,121.45386,"静安区南京西路1600号机场航站楼4楼(常德路附近)",179,336,4.78333333333333
"5","宴遇(静安晶品店)",31.232345,121.453187,"上海市静安区愚园路68号晶品crystalgalleriaF4",96,224,3.18333333333333
"6","湊湊火锅·茶憩(静安晶品店)",31.231752,121.452866,"愚园路68号静安晶品4楼",24,23,0.316666666666667
"7","大董烤鸭店(芮欧百货)",31.229251,121.454181,"静安区南京西路1601号越洋广场5楼",294,414,5.88333333333333
"8","汉堡王(静安店)",31.230866,121.451708,"静安寺街道愚园路132号G1、G2室",123,132,1.86666666666667
"9","泰廊餐厅",31.227921,121.452651,"上海市静安区南京西路1649号(静安公园内)",406,599,8.51666666666667
"11","翠园(上海嘉里中心)",31.22931,121.455664,"上海市静安区南京西路1515号静安嘉里中心F4",377,510,7.26666666666667
"12","牛很鲜潮汕火锅",31.231638,121.448788,"上海市静安区万航渡路109",372,512,7.3
"13","俏江南(881会所店)",31.229273,121.459848,"上海市静安区延安中路881号1幢、5幢",725,975,13.9
"14","SURA",31.232993,121.450502,"胶州路129号(北京西路口)",261,383,5.45
"15","Home's私房菜",31.22631,121.457566,"巨鹿路791号近富民路",746,865,12.3166666666667
"16","萤七人间",31.225813,121.456814,"巨鹿路805号(近富民路)",750,874,12.4333333333333
"17","北海道蟹的冈田屋(愚园路店)",31.230827,121.451633,"愚园路144号",131,139,1.96666666666667
"18","鱼非鱼(静安寺店)",31.232218,121.452491,"上海市静安区愚园路68号晶品crystalgalleriaF4",73,375,5.33333333333333
"19","捞王火锅锅物料理(静安店)",31.23633,121.44853,"上海静安区武定路1052号(胶州路口)",660,821,11.7
"20","付二娘美蛙鱼头",31.232577,121.455624,"愚园东路20号东海广场3号门对面",294,328,4.66666666666667
