"","Criteria","data","minimum_standard","pass_or_not"
"1","800米内地铁站数量",2,1,"yes"
"2","800米内最近地铁站步行距离",537,800,"yes"
"3","800米内最近地铁站步行时间",7.6,10,"yes"
"4","1000米内4/5星级饭店数量",2,1,"yes"
"5","1000米甲级写字楼数量",NA,1,NA
"6","1000米规模商业大众点评人均价格",NA,59,NA
"7","1000米内星巴克数量",2,1,"yes"
"8","1000米内最近星巴克步行距离",137,1000,"yes"
"9","1000米内最近星巴克步行时间",2,10,"yes"
"10","2000米内麦当劳数量",3,1,"yes"
"11","2000米内最近麦当劳步行距离",829,2000,"yes"
"12","2000米内最近麦当劳步行时间",11.8,20,"yes"
"13","1000米内餐馆数量",17,10,"yes"
"14","1000米内餐馆百度地图人均价格",276,30,"yes"
