brand,address,seat
裸心社,朝阳区建国路甲92号世茂大厦,350
裸心社,北京市朝阳区酒仙桥路14号兆维工业园,200
裸心社,朝阳区 工人体育场北路甲2号,100
裸心社,北京市朝阳区关东店28号,400
纳什空间,亚运村北辰世纪中心,781
纳什空间,北京市石景山区石景山路乙18号,92
纳什空间,CBD国贸桥东,88
纳什空间,广顺北大街与湖光北街交汇处,120
纳什空间,中关村银丰大厦,377
纳什空间,望京广顺北大街,186
科技寺,北京市东城区东四北大街107号科林大厦B座,335
科技寺,北京市朝阳区望京启明国际大厦A座,300
科技寺,北京市朝阳区工体北路4号机电院10号楼,400
氪空间,北京市朝阳区建国路108号海航实业大厦,615
氪空间,北京市海淀区中关村创业大街2号楼,224
梦想加-Dream+,北京市东城区雍和宫大街20号77文创园,238
梦想加-Dream+,北京市东城区青龙胡同1号歌华大厦A座,158
梦想加-Dream+,北京市东城区建国门南大街7号万豪中心A座,468
梦想加-Dream+,北京市海淀区中关村海龙大厦H座,201
梦想加-Dream+,北京市海淀区中关村海龙大厦H座,179
梦想加-Dream+,北京市朝阳区朝阳北路与东十里堡路交汇(长楹天街购物中心南侧)未来时写字楼,320
梦想加-Dream+,北京市朝阳区朝阳北路与东十里堡路交汇(长楹天街购物中心南侧)未来时写字楼,369
梦想加-Dream+,北京市朝阳区武圣东路松榆东里37号,416
梦想加-Dream+,北京市朝阳区利泽中二路101号启明国际大厦A座2层,199
梦想加-Dream+,北京朝阳区酒仙桥路4号751园区C8楼,130
梦想加-Dream+,北京市朝阳区望京广顺北大街36号彩虹桥往北150米路东侧,447
梦想加-Dream+,北京市朝阳区望京东路4号院A座1层、9层,178
梦想加-Dream+,北京市朝阳区朝阳门外大街26号朝外MEN,579
梦想加-Dream+,北京市西城区福长街47号,213
梦想加-Dream+,北京是海淀区西北旺东路10h号院21号楼汇冠大厦6F,205
梦想加-Dream+,上地西路8号院4号楼,395
桉树IBC,北京市朝阳区日坛北路17号,500
桉树IBC,侨福芳草地,300
星库空间,朝阳区莱锦文化创意产业园,200
星库空间,朝阳区酒仙桥电子城,1000
星库空间,朝阳路大黄庄桥西（传媒大学北门））,300
时空堂,CBD长安街宝钢大厦17-18层,500
时空堂,金长安大厦，C座8层,500
时空堂,电子城研发中心(将台地铁)7层,800
时空堂,恒安大厦(团结湖地铁)13层,300
时空堂,三元桥中检大厦，二层,800
时空堂,霄云路6号，地上三层，地下一层,800
时空堂,东四环仁和立大厦，二层,60
WOO-无界空间,北京市朝阳区广顺南大街19号嘉润花园B座无界空间,600
