"","name","lat","lng","address","walking_distance","walking_duration","cid"
"37","上海静安城建配套发展公司宏安瑞士大酒店",31.2268189673543,121.442529367761,"静安区愚园路1号",160,2.26666666666667,"hotel"
"1","麦当劳(芮欧百货餐厅)",31.2253395972285,121.442795578703,"上海市静安区南京西路1601号芮欧百货B2",371,5.28333333333333,"mdc"
"2","麦当劳(静安寺餐厅)",31.2257332152123,121.439392630697,"上海市静安区万航渡路18",315,4.48333333333333,"mdc"
"3","麦当劳(中信泰富餐厅)",31.2298450674536,121.450700458664,"上海市静安区南京西路1168号中信泰富广场B1",1084,15.4333333333333,"mdc"
"110","静安寺",31.2249435186996,121.442872781062,"地铁2号线;地铁7号线",410,5.83333333333333,"station"
"111","星巴克(静安晶品店)",31.2274093863197,121.442096458586,"上海市静安区愚园路68号晶品crystalgalleriaF1",47,0.666666666666667,"stb"
"21","星巴克(越洋广场店)",31.2254431518129,121.44318571053,"上海市静安区南京西路1601号芮欧百货F3",344,4.88333333333333,"stb"
"31","星巴克(越洋广场3店)",31.2248291439488,121.44314895242,"上海市静安区南京西路1601号芮欧百货F1",414,5.88333333333333,"stb"
"4","星巴克(静安嘉里中心店)",31.2253109260018,121.445868183796,"上海市静安区南京西路1515号静安嘉里中心B2",561,7.98333333333333,"stb"
"112","畔丹泰国菜",31.2269794137923,121.441830421409,"愚园路68号晶品中心5楼-03&03A(常德路)",4,0.05,"restaurant"
"22","谷田稻香(晶品店)",31.2272747206268,121.441512104335,"上海市静安区愚园路68号晶品crystalgalleriaB2",3,0.0333333333333333,"restaurant"
"32","精悦蓉(愚园路店)",31.2270534582366,121.441591231315,"上海市静安区愚园路68号晶品crystalgalleriaB2",7,0.1,"restaurant"
"41","上海人家精作坊(航站店)",31.225838650479,121.442831398502,"静安区南京西路1600号机场航站楼4楼(常德路附近)",336,4.78333333333333,"restaurant"
"5","宴遇(静安晶品店)",31.2278786563734,121.442157360106,"上海市静安区愚园路68号晶品crystalgalleriaF4",224,3.18333333333333,"restaurant"
"6","湊湊火锅·茶憩(静安晶品店)",31.2272833024377,121.441836329384,"愚园路68号静安晶品4楼",23,0.316666666666667,"restaurant"
"7","大董烤鸭店(芮欧百货)",31.2247952006119,121.443152968847,"静安区南京西路1601号越洋广场5楼",414,5.88333333333333,"restaurant"
"8","汉堡王(静安店)",31.2263890116174,121.440677714875,"静安寺街道愚园路132号G1、G2室",132,1.86666666666667,"restaurant"
"9","泰廊餐厅",31.2234526887157,121.4416227351,"上海市静安区南京西路1649号(静安公园内)",599,8.51666666666667,"restaurant"
"11","翠园(上海嘉里中心)",31.2248691627138,121.444636342876,"上海市静安区南京西路1515号静安嘉里中心F4",510,7.26666666666667,"restaurant"
"12","牛很鲜潮汕火锅",31.2271445005017,121.437753953732,"上海市静安区万航渡路109",512,7.3,"restaurant"
"13","俏江南(881会所店)",31.224885120737,121.448819358519,"上海市静安区延安中路881号1幢、5幢",975,13.9,"restaurant"
"14","SURA",31.2285072010341,121.439469845659,"胶州路129号(北京西路口)",383,5.45,"restaurant"
"15","Home's私房菜",31.2218930862789,121.446539781132,"巨鹿路791号近富民路",865,12.3166666666667,"restaurant"
"16","萤七人间",31.2213872270234,121.445788183284,"巨鹿路805号(近富民路)",874,12.4333333333333,"restaurant"
"17","北海道蟹的冈田屋(愚园路店)",31.2263495110905,121.440602660608,"愚园路144号",139,1.96666666666667,"restaurant"
"18","鱼非鱼(静安寺店)",31.2277460770605,121.441460926973,"上海市静安区愚园路68号晶品crystalgalleriaF4",375,5.33333333333333,"restaurant"
"19","捞王火锅锅物料理(静安店)",31.2318331870868,121.43749466511,"上海静安区武定路1052号(胶州路口)",821,11.7,"restaurant"
"20","付二娘美蛙鱼头",31.2281339798504,121.444595195368,"愚园东路20号东海广场3号门对面",328,4.66666666666667,"restaurant"
