"","Criteria","data","minimum_standard","pass_or_not"
"1","800米内地铁站数量",1,1,"yes"
"2","800米内最近地铁站步行距离",410,800,"yes"
"3","800米内最近地铁站步行时间",5.8,10,"yes"
"4","1000米内4/5星级饭店数量",1,1,"yes"
"5","1000米甲级写字楼数量",NA,1,NA
"6","1000米规模商业大众点评人均价格",NA,59,NA
"7","1000米内星巴克数量",4,1,"yes"
"8","1000米内最近星巴克步行距离",47,1000,"yes"
"9","1000米内最近星巴克步行时间",0.7,10,"yes"
"10","2000米内麦当劳数量",3,1,"yes"
"11","2000米内最近麦当劳步行距离",315,2000,"yes"
"12","2000米内最近麦当劳步行时间",4.5,20,"yes"
"13","1000米内餐馆数量",19,10,"yes"
"14","1000米内餐馆百度地图人均价格",162.95,30,"yes"
