star,name,address
5,上海富建酒店有限公司,闵行区七莘路1885号
4,宝钢集团宝山宾馆,宝山区牡丹江路1813号
4,上海紫薇悦园会务管理有限公司（衡山北郊宾馆）,宝山区沪太路4788号
4,上海金仓永华酒店管理有限公司（衡山永仓永华大酒店）,上海市宝山区杨行镇水产路2659号
5,上海南郊宾馆有限公司,奉贤南桥新城望园路8号
5,上海悦华大酒店,奉贤区南桥镇江海路88号
4,上海新发展圣淘沙大酒店有限公司,奉贤区南桥镇南桥路1号
4,上海海景海港大酒店有限公司,奉贤区海杰路1588号
5,上海兴国宾馆,长宁区兴国路78号
5,上海长峰酒店管理有限公司龙之梦大酒店  ,长宁区延安西路1116号
5,上海扬子江万丽大酒店   ,长宁区延安西路2099号
5,虹桥喜来登上海太平洋大饭店有限公司  ,长宁区遵义南路5号
5,上海海鸥国际酒店投资管理有限公司千禧海鸥大酒店  ,长宁区延安西路2588号
5,上海西郊宾馆,长宁区虹桥路1921号
5,上海虹桥迎宾馆,长宁区虹桥路1591号
5,上海紫泰酒店管理有限公司万豪虹桥大酒店  ,长宁区虹桥路2270号
5,上海银星皇冠假日酒店  ,长宁区番禺路400号
5,上海龙之梦酒店管理有限公司龙之梦万丽酒店,长宁路1018号
5,上海裕昌房产发展有限公司晶品日航饭店,长宁区延安西路488号
4,上海虹桥宾馆有限公司,长宁区延安西路2000号
4,上海美仑大酒店有限公司,长宁区武夷路789号
4,上海君丽大酒店管理有限公司,长宁区遵义南路448号
5,上海大厦,虹口区北苏州路20号
4,上海新世纪酒店发展有限公司兰生大酒店(已停业）,虹口区曲阳路1000号
4,海鸥饭店,虹口区黄浦路60号
4,上海远洋宾馆有限公司 （审计2011） ,虹口区东大明路1171号
4,上海宝隆宾馆有限公司宝隆美爵酒店,虹口区逸仙路180号
4,上海九龙宾馆有限公司(绿地九龙宾馆),虹口区溧阳路601号
5,上海复旦国际学术交流中心有限公司(上海复旦皇冠假日酒店),杨浦区邯郸路199号
4,上海瀚海明玉大酒店有限公司,杨浦区周家嘴路1888号
4,上海迪顺酒店管理有限公司同济君禧大酒店,杨浦区彰武路50号
4,上海甸园宾馆有限公司,杨浦区长阳路2558号
4,上海新崇大酒店有限公司,崇明城桥镇鼓浪屿路777号
5,上海商城 上海波特曼丽嘉酒店,静安区南京西路1376号
5,静安希尔顿饭店（上海）  ,静安区华山路250号
5,上海上实南洋大酒店有限公司上海四季酒店,静安区威海路500号
5,上海静安城建配套发展公司宏安瑞士大酒店,静安区愚园路1号
4,上海宾馆有限公司,静安区乌鲁木齐北路505号
4,上海国际贵都大饭店,静安区延安西路65号
4,上海延安饭店,静安区延安中路1111号
4,上海美丽园大酒店有限公司（上海美丽园龙都大酒店）,静安区延安西路396号
4,上海陕西商务酒店有限公司,静安区延安中路658号
4,上海吉林实业有限公司吉臣酒店管理分公司,静安区万航渡路818号
5,上海宏泉酒店管理公司（宏泉丽笙酒店）,普陀区桃浦路210号
5,上海新发展大酒店有限公司新发展亚太万豪酒店（2013年批）,普陀区大度河路158号
4,上海上海古井金豪酒店管理有限公司（古井假日酒店）,普陀区长寿路700号
4,上海江苏饭店有限公司,普陀区武宁路888号
5,上海耀达房地产开发有限公司浦西洲际酒店              ,闸北区恒丰路500号
4, 上海广场长城假日酒店 ,闸北区恒丰路585号
4,上海中祥大酒店有限公司,闸北区中兴路1558号
4,上海锦荣国际大酒店有限公司,闸北区共和新路2750号
4,上海金水湾大酒店有限公司,闸北区恒丰路308号
5,上海朱家角皇家郁金香花园酒店,青浦朱家角镇浦祥路79号
4,上海蓝溪房地产开发公司竞衡假日酒店（上海西郊假日酒店）,青浦区沪青平公路2000号
4,上海迪利特大酒店,青浦华新镇华腾路288号
5, 上海华亭宾馆有限公司  ,徐汇区漕溪北路1200号
5, 上海国际网球中心酒店管理有限公司富豪环球东亚大酒店  ,徐汇区衡山路516号
5, 上海市衡山（集团）公司衡山宾馆 ,徐汇区衡山路534号
4, 上海建国宾馆有限公司 ,徐汇区漕溪北路439号
4, 上海体育场酒店管理有限公司富豪东亚酒店 ,徐汇区零陵路800号
4, 上海光大会展中心有限公司国际大酒店 ,徐汇区漕宝路66号
4,上海斯波特体育发展有限公司斯波特大酒店,徐汇区南丹路15号
4,青松城大酒店                                                        ,徐汇区东安路8号
4,上海奥林匹克俱乐部,徐汇区中山南二路1800号
4,上海嘉汇华美达大酒店有限公司,徐汇区天钥桥路327号
4,西藏大厦股份有限公司上海西藏大厦万怡酒店,徐汇区虹桥路100号
4,上海天平宾馆有限公司,徐汇区天平路185号
4,上海新园雅致酒店经营管理有限公司新园酒店（华美达新园酒店）,徐汇区漕宝路509号
5, 上海锦江汤臣洲际大酒店  ,浦东新区张杨路777号
5, 上海浦东新区香格里拉酒店有限公司  ,浦东新区富城路33号
5, 上海金茂君悦大酒店  ,浦东新区世纪大道88号
5, 上海国际会议中心有限公司（东方滨江大酒店） ,浦东新区滨江大道2727号
5, 上海紫金山大酒店  ,浦东新区东方路778号
5, 上海红塔大酒店有限公司（上海红塔豪华精选酒店）   ,浦东东方路889号
5, 上海东锦江希尔顿逸林酒店  ,浦东新区杨高南路889号
5, 上海外高桥保宏大酒店有限公司（上海外高桥皇冠假日酒店 ） ,浦东新区杨高北路1000号
5, 上海东郊宾馆  ,浦东新区金科路1800号
5, 上海淳大万丽酒店  ,浦东新区长柳路100号
5, 齐茂（中国）有限公司上海裕景大饭店 ,浦东大道535号
5, 上海浦东华油实业有限公司中油阳光大酒店 ,浦东新区东方路969号
5, 上海珀丽酒店投资管理有限公司  （上海世纪皇冠假日酒店） ,浦东新区民生路1433号
5, 上海兴荣温德姆至尊豪廷酒店 ,浦东大道2288号
5,上海世博土地控股有限公司世博洲际酒店,浦东雪野路1188号
